,name,location_link,site,us_state,type,subtypes,Area,rating
59,China Cafe,"https://www.google.com/maps/place/China+Cafe/@36.2817102,-94.15289659999999,14z/data=!4m8!1m2!2m1!1sChina+Cafe!3m4!1s0x87c91154c7b7be6b:0x64699ca7700d6c07!8m2!3d36.2817102!4d-94.15289659999999",https://www.chinacaferogers.com/,Arkansas,Chinese restaurant,Chinese restaurant,2,4.3
60,China Garden,"https://www.google.com/maps/place/China+Garden/@36.2618236,-91.5257503,14z/data=!4m8!1m2!2m1!1sChina+Garden!3m4!1s0x87d13e40f679df85:0x132e498318c0c5eb!8m2!3d36.2618236!4d-91.5257503",http://china-garden-highland.poi.place/,Arkansas,Chinese restaurant,Chinese restaurant,0,4.2
61,Asia cuisine,"https://www.google.com/maps/place/Asia+cuisine/@36.0604601,-90.5252285,14z/data=!4m8!1m2!2m1!1sAsia+cuisine!3m4!1s0x87d67b5748d74799:0xd959515ac6150ee7!8m2!3d36.0604601!4d-90.5252285",https://asiacuisinear.com/,Arkansas,Chinese restaurant,Chinese restaurant,1,4.1
62,Cheng's Garden,"https://www.google.com/maps/place/Cheng%27s+Garden/@34.8316556,-92.1832149,14z/data=!4m8!1m2!2m1!1sCheng%27s+Garden!3m4!1s0x87d2bfcd68d8311d:0x4959295e113bb996!8m2!3d34.8316556!4d-92.1832149",https://www.chengsgardensherwood.com/,Arkansas,Chinese restaurant,Chinese restaurant,2,3.7
63,Rainbow House Asian Bistro,"https://www.google.com/maps/place/Rainbow+House+Asian+Bistro/@36.4428094,-94.116788,14z/data=!4m8!1m2!2m1!1sRainbow+House+Asian+Bistro!3m4!1s0x87c9192f4707899d:0xd4c6d2204e0162fd!8m2!3d36.4428094!4d-94.116788",https://rainbow-house-asian-bistro.business.site/?m=true,Arkansas,Chinese restaurant,Chinese restaurant,2,4.4
64,Wonderful Chinese Super Buffet,"https://www.google.com/maps/place/Wonderful+Chinese+Super+Buffet/@36.0730814,-90.9608829,14z/data=!4m8!1m2!2m1!1sWonderful+Chinese+Super+Buffet!3m4!1s0x87d6a3576ff6350d:0x52803b3a636b70f7!8m2!3d36.0730814!4d-90.9608829",,Arkansas,Chinese restaurant,"Chinese restaurant, Restaurant",0,3.8
65,Mulan's,"https://www.google.com/maps/place/Mulan%27s/@35.0889278,-92.4114333,14z/data=!4m8!1m2!2m1!1sMulan%27s!3m4!1s0x87d283cfba5a7177:0xe90bd151907084c7!8m2!3d35.0889278!4d-92.4114333",https://mulantogo.com/,Arkansas,Chinese restaurant,"Chinese restaurant, Japanese restaurant, Restaurant, Sushi restaurant",2,4.3
66,New China Restaurant,"https://www.google.com/maps/place/New+China+Restaurant/@34.869347499999996,-92.1272097,14z/data=!4m8!1m2!2m1!1sNew+China+Restaurant!3m4!1s0x87d2eac1b0056e29:0xb74ba6c5d43d23ce!8m2!3d34.869347499999996!4d-92.1272097",,Arkansas,Chinese restaurant,Chinese restaurant,2,3.8
67,Hunan Palace Express,"https://www.google.com/maps/place/Hunan+Palace+Express/@34.7810135,-92.2773799,14z/data=!4m8!1m2!2m1!1sHunan+Palace+Express!3m4!1s0x87d2bce92b462087:0xd8593361d26799ee!8m2!3d34.7810135!4d-92.2773799",https://usmapz.me/hunan-palace-express-449213-us,Arkansas,Chinese restaurant,Chinese restaurant,2,4.3
68,Great Wall Buffet,"https://www.google.com/maps/place/Great+Wall+Buffet/@34.3928331,-92.8311451,14z/data=!4m8!1m2!2m1!1sGreat+Wall+Buffet!3m4!1s0x8632cb1a01d22cd5:0x1c833951babc7c62!8m2!3d34.3928331!4d-92.8311451",,Arkansas,Chinese restaurant,"Chinese restaurant, Buffet restaurant, Restaurant",1,3.9
69,Chinatown Chinese Restaurant,"https://www.google.com/maps/place/Chinatown+Chinese+Restaurant/@35.2056198,-90.1938979,14z/data=!4m8!1m2!2m1!1sChinatown+Chinese+Restaurant!3m4!1s0x87d57786db9bc633:0xfa12833a4def7b68!8m2!3d35.2056198!4d-90.1938979",http://www.chinatownmarion.com/,Arkansas,Chinese restaurant,"Chinese restaurant, Asian restaurant, Chinese takeaway, Delivery Chinese restaurant",2,4.1
70,New China Restaurant,"https://www.google.com/maps/place/New+China+Restaurant/@34.9049781,-91.20054979999999,14z/data=!4m8!1m2!2m1!1sNew+China+Restaurant!3m4!1s0x87d49e35a6b13eeb:0x169014de8ffc913d!8m2!3d34.9049781!4d-91.20054979999999",https://newchinarestaurantar.com/,Arkansas,Chinese restaurant,Chinese restaurant,0,3.2
71,Chen's Garden,"https://www.google.com/maps/place/Chen%27s+Garden/@36.3517667,-92.3638144,14z/data=!4m8!1m2!2m1!1sChen%27s+Garden!3m4!1s0x87d1dbc09187ca03:0x8ade4070bb7e95b7!8m2!3d36.3517667!4d-92.3638144",https://chensgardenbuffet.weebly.com/,Arkansas,Chinese restaurant,Chinese restaurant,1,4.2
72,New Hunan,"https://www.google.com/maps/place/New+Hunan/@36.032635899999995,-90.5205222,14z/data=!4m8!1m2!2m1!1sNew+Hunan!3m4!1s0x87d67b9ebfca16a9:0xadb65bb2913f2733!8m2!3d36.032635899999995!4d-90.5205222",https://newhunanar.com/,Arkansas,Chinese restaurant,"Chinese restaurant, Asian restaurant, Restaurant",1,4.1
73,Chinese Buffet,"https://www.google.com/maps/place/Chinese+Buffet/@35.9278006,-89.8732512,14z/data=!4m8!1m2!2m1!1sChinese+Buffet!3m4!1s0x8878ad398e20abf7:0x4ab0e27fba017b25!8m2!3d35.9278006!4d-89.8732512",,Arkansas,Chinese restaurant,Chinese restaurant,1,3.7
